dateCaptured, airTempSensationOne, airHumSensationOne, airTempOne, airHumOne, earthTempOne, earthHumOne, lightOne, airTempSensationTwo, airHumSensationTwo, airTempTwo, airHumTwo, earthTempTwo, earthHumTwo, lightTwo, airTempSensationThree, airHumSensationThree, airTempThree, airHumThree, earthTempThree, earthHumThree, lightThree, airTempSensationFour, airHumSensationFour, airTempFour, airHumFour, earthTempFour, earthHumFour, lightFour, airTempSensationFive, airHumSensationFive, airTempFive, airHumFive, earthTempFive, earthHumFive, lightFive, statusCloud, timeSent
11/9/2020 16:49:8, 14.0887, 14.0887, 14.4, 84, 16, 156.733, 2636.67, 13.7666, 13.7666, 14.1, 84.3, 17.3125, 10.6198, 3110, 13.667, 13.667, 14, 84.7, 15.75, 7.47636, 2476.67, 14.6172, 14.6172, 14.7, 91.6, 17.5, 20.6399, 2555, 15.0154, 15.0154, 15.1, 90, 15.875, 6.89258, 2970.83, false, 11/9/2020 16:49:8 
11/9/2020 16:51:14, 14.1279, 14.1279, 14.4, 85.5, 15.875, 156.733, 3325.83, 14.2275, 14.2275, 14.5, 85.1, 17.1875, 10.5043, 4031.67, 13.824, 13.824, 14.1, 86.5, 15.625, 7.37932, 4332.5, 13.9755, 13.9755, 14.1, 92.3, 17.375, 16.9547, 3698.33, 13.1506, 13.1506, 13.4, 90.2, 15.875, 6.93671, 3887.5, false, 11/9/2020 16:51:14 
11/9/2020 16:53:20, 13.6488, 13.6488, 14, 84, 15.875, 156.733, 3596.67, 13.4575, 13.4575, 13.8, 85.1, 17.1875, 10.443, 3920.83, 14.1279, 14.1279, 14.4, 85.5, 15.6875, 7.2911, 3048.33, 14.1772, 14.1772, 14.3, 91.6, 17.375, 16.6563, 3565.83, 14.5963, 14.5963, 14.7, 90.8, 15.8125, 6.93776, 3624.17, false, 11/9/2020 16:53:20 
11/9/2020 16:55:27, 14.4657, 14.4657, 14.7, 85.8, 15.75, 156.733, 3761.67, 13.5623, 13.5623, 13.9, 84.9, 17.125, 10.4761, 4240, 13.9001, 13.9001, 14.2, 85.2, 15.625, 7.22113, 3270.83, 14.1902, 14.1902, 14.3, 92.1, 17.3125, 16.4597, 3717.5, 14.3424, 14.3424, 14.5, 89.5, 15.75, 6.94986, 3940, false, 11/9/2020 16:55:27 
11/9/2020 16:57:33, 14.4396, 14.4396, 14.7, 84.8, 15.75, 156.733, 3948.33, 13.6879, 13.6879, 14, 85.5, 17.125, 10.5017, 4536.67, 14.0362, 14.0362, 14.3, 86.2, 15.5625, 7.09824, 3359.17, 14.5568, 14.5568, 14.6, 93.5, 17.25, 16.5527, 3895.83, 14.6985, 14.6985, 14.8, 90.5, 15.6875, 6.98419, 4225, false, 11/9/2020 16:57:33 
11/9/2020 16:59:39, 14.264, 14.264, 14.5, 86.5, 15.6875, 156.733, 4234.17, 14.0179, 14.0179, 14.3, 85.5, 17.0625, 10.6034, 4806.67, 13.7744, 13.7744, 14.1, 84.6, 15.5625, 7.10992, 3520, 14.405, 14.405, 14.5, 91.9, 17.25, 16.3997, 4084.17, 14.2402, 14.2402, 14.4, 89.8, 15.6875, 6.96225, 4465.83, false, 11/9/2020 16:59:39 
11/9/2020 17:1:46, 14.4579, 14.4579, 14.7, 85.5, 15.625, 156.733, 4447.5, 14.8901, 14.8901, 15.1, 85.2, 17.0625, 10.5027, 5291.67, 13.8162, 13.8162, 14.1, 86.2, 15.5, 7.03622, 3963.33, 14.2111, 14.2111, 14.3, 92.9, 17.1875, 16.4003, 4390.83, 15.4554, 15.4554, 15.5, 90, 15.625, 7.01821, 4886.67, false, 11/9/2020 17:1:46 
11/9/2020 17:3:52, 14.3531, 14.3531, 14.6, 85.7, 15.625, 156.733, 4495, 14.9609, 14.9609, 15.2, 83.7, 17.0625, 10.4877, 5619.17, 13.984, 13.984, 14.3, 84.2, 15.5625, 7.09499, 4164.17, 14.4994, 14.4994, 14.6, 91.3, 17.125, 16.5006, 4574.17, 15.1179, 15.1179, 15.3, 85.5, 15.625, 7.10391, 5215, false, 11/9/2020 17:3:52 
11/9/2020 17:5:59, 14.5287, 14.5287, 14.8, 84, 15.5625, 156.733, 3928.33, 14.644, 14.644, 14.9, 84.2, 17, 10.4754, 5810, 14.0179, 14.0179, 14.3, 85.5, 15.5, 7.26852, 4255, 14.7324, 14.7324, 14.8, 91.8, 17.125, 16.6464, 4506.67, 15.5419, 15.5419, 15.6, 89.1, 15.5625, 7.12475, 5313.33, false, 11/9/2020 17:5:59 
11/9/2020 17:8:5, 14.4135, 14.4135, 14.7, 83.8, 15.5625, 156.734, 3155.83, 14.9714, 14.9714, 15.2, 84.1, 17, 10.3821, 5074.17, 14.2118, 14.2118, 14.5, 84.5, 15.5, 7.09734, 3786.67, 14.9394, 14.9394, 15, 91.3, 17.0625, 16.3535, 3755.83, 13.6354, 13.6354, 13.9, 87.7, 15.5625, 7.11176, 4696.67, false, 11/9/2020 17:8:5 
11/9/2020 17:10:11, 14.9687, 14.9687, 15.2, 84, 15.5, 156.733, 2875.83, 14.7409, 14.7409, 15, 83.7, 16.9375, 10.4132, 4075.83, 14.0861, 14.0861, 14.4, 83.9, 15.4375, 7.10277, 3003.33, 15.0415, 15.0415, 15.1, 91, 17.0625, 16.3107, 3142.5, 13.9236, 13.9236, 14.2, 86.1, 15.4375, 7.08599, 3833.33, false, 11/9/2020 17:10:11 
11/9/2020 17:15:29, 14.2144, 14.2144, 14.5, 84.6, 15.4375, 156.733, 2895.83, 15.2018, 15.2018, 15.4, 84.5, 16.875, 10.2896, 3655.83, 14.3453, 14.3453, 14.6, 85.4, 15.4375, 6.97694, 2711.67, 14.8476, 14.8476, 14.9, 92, 16.9375, 16.3419, 2892.5, 15.3849, 15.3849, 15.5, 87.3, 15.4375, 7.03048, 3401.67, false, 11/9/2020 17:15:29 
